Community,Source,Year,AllHouseholds,Households w Child Under 18,TANF,SNAP,SNAPPCT,TANFPCT,Notes,,
Geneva Town,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2017,,312,26,150,,8.3,,,
Geneva Town,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2016,,355,32,160,,9,,,
Geneva Town,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2015,,321,14,130,,4.4,,,
Geneva Town,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2014,,360,21,148,,5.8,,,
Geneva Town,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2013,,311,27,128,,8.7,,,
Geneva Town,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2012,,343,9,79,,2.6,,,
Geneva Town,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2011,,292,9,80,,3.1,,,
Geneva Town,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2010,,317,17,93,,5.4,,,
Geneva Town,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2009,,298,11,62,,3.7,,,
Geneva,Charmagne.Miller@co.ontario.ny.us,2020,4895,1177,368,856,17.5,31.3,https://data.census.gov/cedsci/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2020.DP02&moe=false,,
Ontario,Charmagne.Miller@co.ontario.ny.us,2020,45711,12997,1585,4234,9.3,12.2,https://data.census.gov/cedsci/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2020.DP02&moe=false,,
Ontario wo Geneva,Data above,2020,40816,11820,1217,3378,8.3,10.3,Geneva=City,,
Geneva,https://ontariocountyny.gov/DocumentCenter/View/36772/Annual-Report-2021v2,2021,4655,1089,347,1211,24.7,31.9,https://data.census.gov/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS+5-Year+Estimates+Data+Profiles&tid=ACSDP5Y2021.DP02&moe=false,,
Ontario,Charmagne.Miller@co.ontario.ny.us,2021,46547,12908,1497,5671,12.4,11.6,https://data.census.gov/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS+5-Year+Estimates+Data+Profiles&tid=ACSDP5Y2021.DP02&moe=false,,
Ontario wo Geneva,Data above,2021,41892,11819,1150,4460,10.9,9.7,https://data.census.gov/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS+5-Year+Estimates+Data+Profiles&tid=ACSDP5Y2021.DP02&moe=false,,
Geneva,Charmagne.Miller@co.ontario.ny.us,2022,4759,1064,411,1522,32,38.6,https://data.census.gov/table/ACSDP5Y2022.DP02?g=160XX00US3628640_050XX00US36069_040XX00US36&d=ACS%205-Year%20Estimates%20Data%20Profiles&moe=false,,
Ontario,Charmagne.Miller@co.ontario.ny.us,2022,47080,12426,1800,7270,15.4,14.5,https://data.census.gov/table/ACSDP5Y2022.DP02?g=160XX00US3628640_050XX00US36069_040XX00US36&d=ACS%205-Year%20Estimates%20Data%20Profiles&moe=false,,
Ontario wo Geneva,Data above,2022,42321,11362,1389,5748,13.6,12.2,https://data.census.gov/table/ACSDP5Y2022.DP02?g=160XX00US3628640_050XX00US36069_040XX00US36&d=ACS%205-Year%20Estimates%20Data%20Profiles&moe=false,,
Geneva,Charmagne.Miller@co.ontario.ny.us,2023,4878,1003,377,1348,27.6,37.6,https://www.ontariocountyny.gov/DocumentCenter/View/45841/Annual-Report-2022-2023,,
Ontario,Charmagne.Miller@co.ontario.ny.us,2023,47684,12291,1746,6766,14.2,14.2,https://www.ontariocountyny.gov/DocumentCenter/View/45841/Annual-Report-2022-2023,,
Ontario wo Geneva,Data above,2023,42806,11288,1369,5418,12.7,12.1,https://data.census.gov/table/ACSDP5Y2023.DP02?g=160XX00US3628640_050XX00US36069_040XX00US36&d=ACS%205-Year%20Estimates%20Data%20Profiles&moe=false,,
