Age,Month,Year,Location,Status,Count,Source,Date,Note
School-Age,June,2022,Other Day Care Ctrs,Wait List,21,Julie Champion,2022-06,
School-Age,March,2022,After-School Ctr,Wait List,20,Julie Champion,2022-03,
School-Age,June,2022,After-School Ctr,Wait List,23,Julie Champion,2022-06,
Infants,December,2022,Jim Dooley Ctr,Wait List,50,Teresa.Bryan@cfresources.org,2022-12,
Toddlers,December,2022,Jim Dooley Ctr,Wait List,40,Teresa.Bryan@cfresources.org,2022-12,
Pre-K,December,2022,Jim Dooley Ctr,Wait List,60,Teresa.Bryan@cfresources.org,2022-12,
School-Age,December,2022,Jim Dooley Ctr,Wait List,15,Teresa.Bryan@cfresources.org,2022-12,
Infants,December,2022,Other Day Care Ctrs,Wait List,18,Teresa.Bryan@cfresources.org,2022-12,
Toddlers,December,2022,Other Day Care Ctrs,Wait List,16,Teresa.Bryan@cfresources.org,2022-12,
Pre-K,December,2022,Other Day Care Ctrs,Wait List,36,Teresa.Bryan@cfresources.org,2022-12,
School-Age,December,2022,Other Day Care Ctrs,Wait List,4,Teresa.Bryan@cfresources.org,2022-12,
School-Age,December,2022,After-School Ctr,Wait List,14,Teresa.Bryan@cfresources.org,2022-12,
Infants,June,2023,Jim Dooley Ctr,Wait List,59,Teresa.Bryan@cfresources.org,2023-06,
Toddlers,June,2023,Jim Dooley Ctr,Wait List,51,Teresa.Bryan@cfresources.org,2023-06,
Pre-K,June,2023,Jim Dooley Ctr,Wait List,60,Teresa.Bryan@cfresources.org,2023-06,
School-Age,June,2023,Jim Dooley Ctr,Wait List,21,Teresa.Bryan@cfresources.org,2023-06,
Infants,June,2023,Other Day Care Ctrs,Wait List,17,Teresa.Bryan@cfresources.org,2023-06,Centers Only
Toddlers,June,2023,Other Day Care Ctrs,Wait List,18,Teresa.Bryan@cfresources.org,2023-06,
Pre-K,June,2023,Other Day Care Ctrs,Wait List,4,Teresa.Bryan@cfresources.org,2023-06,
School-Age,June,2023,Other Day Care Ctrs,Wait List,14,Teresa.Bryan@cfresources.org,2023-06,
School-Age,June,2023,After-School Ctr,Wait List,9,Teresa.Bryan@cfresources.org,2023-06,
Infants,September,2023,Jim Dooley Ctr,Wait List,35,Teresa.Bryan@cfresources.org,2023-09,
Toddlers,September,2023,Jim Dooley Ctr,Wait List,32,Teresa.Bryan@cfresources.org,2023-09,
Pre-K,September,2023,Jim Dooley Ctr,Wait List,36,Teresa.Bryan@cfresources.org,2023-09,
School-Age,September,2023,Jim Dooley Ctr,Wait List,10,Teresa.Bryan@cfresources.org,2023-09,
Infants,September,2023,Other Day Care Ctrs,Wait List,20,Teresa.Bryan@cfresources.org,2023-09,Centers Only
Toddlers,September,2023,Other Day Care Ctrs,Wait List,15,Teresa.Bryan@cfresources.org,2023-09,
Pre-K,September,2023,Other Day Care Ctrs,Wait List,4,Teresa.Bryan@cfresources.org,2023-09,
School-Age,September,2023,Other Day Care Ctrs,Wait List,9,Teresa.Bryan@cfresources.org,2023-09,
School-Age,September,2023,After-School Ctr,Wait List,10,Teresa.Bryan@cfresources.org,2023-09,
Infants,January,2024,Jim Dooley Ctr,Wait List,81,Teresa.Bryan@cfresources.org,2024-01,
Toddlers,January,2024,Jim Dooley Ctr,Wait List,71,Teresa.Bryan@cfresources.org,2024-01,
Pre-K,January,2024,Jim Dooley Ctr,Wait List,44,Teresa.Bryan@cfresources.org,2024-01,
School-Age,January,2024,Jim Dooley Ctr,Wait List,26,Teresa.Bryan@cfresources.org,2024-01,
Infants,January,2024,Other Day Care Ctrs,Wait List,24,Teresa.Bryan@cfresources.org,2024-01,Centers Only
Toddlers,January,2024,Other Day Care Ctrs,Wait List,17,Teresa.Bryan@cfresources.org,2024-01,
Pre-K,January,2024,Other Day Care Ctrs,Wait List,7,Teresa.Bryan@cfresources.org,2024-01,
School-Age,January,2024,Other Day Care Ctrs,Wait List,9,Teresa.Bryan@cfresources.org,2024-01,
School-Age,January,2024,After-School Ctr,Wait List,4,Teresa.Bryan@cfresources.org,2024-01,
Infants,March,2024,Jim Dooley Ctr,Wait List,36,Teresa.Bryan@cfresources.org,2024-03,
Toddlers,March,2024,Jim Dooley Ctr,Wait List,40,Teresa.Bryan@cfresources.org,2024-03,
Pre-K,March,2024,Jim Dooley Ctr,Wait List,45,Teresa.Bryan@cfresources.org,2024-03,
School-Age,March,2024,Jim Dooley Ctr,Wait List,27,Teresa.Bryan@cfresources.org,2024-03,
Infants,March,2024,Other Day Care Ctrs,Wait List,24,Teresa.Bryan@cfresources.org,2024-03,Centers Only
Toddlers,March,2024,Other Day Care Ctrs,Wait List,17,Teresa.Bryan@cfresources.org,2024-03,
Pre-K,March,2024,Other Day Care Ctrs,Wait List,7,Teresa.Bryan@cfresources.org,2024-03,
School-Age,March,2024,Other Day Care Ctrs,Wait List,9,Teresa.Bryan@cfresources.org,2024-03,
School-Age,March,2024,After-School Ctr,Wait List,9,Teresa.Bryan@cfresources.org,2024-03,
Infants,June,2024,Jim Dooley Ctr,Wait List,48,Teresa.Bryan@cfresources.org,2024-06,
Toddlers,June,2024,Jim Dooley Ctr,Wait List,108,Teresa.Bryan@cfresources.org,2024-06,
Pre-K,June,2024,Jim Dooley Ctr,Wait List,50,Teresa.Bryan@cfresources.org,2024-06,
School-Age,June,2024,Jim Dooley Ctr,Wait List,47,Teresa.Bryan@cfresources.org,2024-06,
Infants,June,2024,Other Day Care Ctrs,Wait List,19,Teresa.Bryan@cfresources.org,2024-06,Centers Only
Toddlers,June,2024,Other Day Care Ctrs,Wait List,31,Teresa.Bryan@cfresources.org,2024-06,
Pre-K,June,2024,Other Day Care Ctrs,Wait List,14,Teresa.Bryan@cfresources.org,2024-06,
School-Age,June,2024,Other Day Care Ctrs,Wait List,8,Teresa.Bryan@cfresources.org,2024-06,
School-Age,June,2024,After-School Ctr,Wait List,0,Teresa.Bryan@cfresources.org,2024-06,
Infants,September,2024,Jim Dooley Ctr,Wait List,60,Teresa.Bryan@cfresources.org,2024-09,
Toddlers,September,2024,Jim Dooley Ctr,Wait List,70,Teresa.Bryan@cfresources.org,2024-09,
Pre-K,September,2024,Jim Dooley Ctr,Wait List,0,Teresa.Bryan@cfresources.org,2024-09,
School-Age,September,2024,Jim Dooley Ctr,Wait List,55,Teresa.Bryan@cfresources.org,2024-09,
Infants,September,2024,Other Day Care Ctrs,Wait List,20,Teresa.Bryan@cfresources.org,2024-09,Centers Only
Toddlers,September,2024,Other Day Care Ctrs,Wait List,31,Teresa.Bryan@cfresources.org,2024-09,
Pre-K,September,2024,Other Day Care Ctrs,Wait List,14,Teresa.Bryan@cfresources.org,2024-09,
School-Age,September,2024,Other Day Care Ctrs,Wait List,14,Teresa.Bryan@cfresources.org,2024-09,
School-Age,September,2024,After-School Ctr,Wait List,0,Teresa.Bryan@cfresources.org,2024-09,
Infants,January,2025,Jim Dooley Ctr,Wait List,50,Teresa.Bryan@cfresources.org,2025-01,
Toddlers,January,2025,Jim Dooley Ctr,Wait List,70,Teresa.Bryan@cfresources.org,2025-01,
Pre-K,January,2025,Jim Dooley Ctr,Wait List,42,Teresa.Bryan@cfresources.org,2025-01,
School-Age,January,2025,Jim Dooley Ctr,Wait List,55,Teresa.Bryan@cfresources.org,2025-01,
Infants,January,2025,Other Day Care Ctrs,Wait List,25,Teresa.Bryan@cfresources.org,2025-01,
Toddlers,January,2025,Other Day Care Ctrs,Wait List,20,Teresa.Bryan@cfresources.org,2025-01,
Pre-K,January,2025,Other Day Care Ctrs,Wait List,25,Teresa.Bryan@cfresources.org,2025-01,
School-Age,January,2025,Other Day Care Ctrs,Wait List,17,Teresa.Bryan@cfresources.org,2025-01,
School-Age,January,2025,After-School Ctr,Wait List,8,Teresa.Bryan@cfresources.org,2025-01,
Infants,March,2025,Jim Dooley Ctr,Wait List,59,Teresa.Bryan@cfresources.org,2025-03,
Toddlers,March,2025,Jim Dooley Ctr,Wait List,45,Teresa.Bryan@cfresources.org,2025-03,
Pre-K,March,2025,Jim Dooley Ctr,Wait List,55,Teresa.Bryan@cfresources.org,2025-03,
School-Age,March,2025,Jim Dooley Ctr,Wait List,2,Teresa.Bryan@cfresources.org,2025-03,
Infants,March,2025,Other Day Care Ctrs,Wait List,18,Teresa.Bryan@cfresources.org,2025-03,
Toddlers,March,2025,Other Day Care Ctrs,Wait List,13,Teresa.Bryan@cfresources.org,2025-03,
Pre-K,March,2025,Other Day Care Ctrs,Wait List,14,Teresa.Bryan@cfresources.org,2025-03,
School-Age,March,2025,Other Day Care Ctrs,Wait List,2,Teresa.Bryan@cfresources.org,2025-03,
School-Age,March,2025,After-School Ctr,Wait List,3,Teresa.Bryan@cfresources.org,2025-03,
Infants,June,2025,Jim Dooley Ctr,Wait List,59,Teresa.Bryan@cfresources.org,2025-06,
Toddlers,June,2025,Jim Dooley Ctr,Wait List,45,Teresa.Bryan@cfresources.org,2025-06,
Pre-K,June,2025,Jim Dooley Ctr,Wait List,55,Teresa.Bryan@cfresources.org,2025-06,
School-Age,June,2025,Jim Dooley Ctr,Wait List,2,Teresa.Bryan@cfresources.org,2025-06,
Infants,June,2025,Other Day Care Ctrs,Wait List,20,Teresa.Bryan@cfresources.org,2025-06,
Toddlers,June,2025,Other Day Care Ctrs,Wait List,11,Teresa.Bryan@cfresources.org,2025-06,
Pre-K,June,2025,Other Day Care Ctrs,Wait List,18,Teresa.Bryan@cfresources.org,2025-06,
School-Age,June,2025,Other Day Care Ctrs,Wait List,10,Teresa.Bryan@cfresources.org,2025-06,
School-Age,June,2025,After-School Ctr,Wait List,8,Teresa.Bryan@cfresources.org,2025-06,
Infants,September,2025,Jim Dooley Ctr,Wait List,28,Teresa.Bryan@cfresources.org,2025-09,
Toddlers,September,2025,Jim Dooley Ctr,Wait List,44,Teresa.Bryan@cfresources.org,2025-09,
Pre-K,September,2025,Jim Dooley Ctr,Wait List,0,Teresa.Bryan@cfresources.org,2025-09,
School-Age,September,2025,Jim Dooley Ctr,Wait List,44,Teresa.Bryan@cfresources.org,2025-09,
Infants,September,2025,Other Day Care Ctrs,Wait List,0,Teresa.Bryan@cfresources.org,2025-09,
Toddlers,September,2025,Other Day Care Ctrs,Wait List,5,Teresa.Bryan@cfresources.org,2025-09,
Pre-K,September,2025,Other Day Care Ctrs,Wait List,9,Teresa.Bryan@cfresources.org,2025-09,
School-Age,September,2025,Other Day Care Ctrs,Wait List,0,Teresa.Bryan@cfresources.org,2025-09,
School-Age,September,2025,After-School Ctr,Wait List,22,Teresa.Bryan@cfresources.org,2025-09,
Infants,De cember,2025,Jim Dooley Ctr,Wait List,10,Teresa.Bryan@cfresources.org,2025-12,
Toddlers,De cember,2025,Jim Dooley Ctr,Wait List,18,Teresa.Bryan@cfresources.org,2025-12,
Pre-K,De cember,2025,Jim Dooley Ctr,Wait List,8,Teresa.Bryan@cfresources.org,2025-12,
School-Age,De cember,2025,Jim Dooley Ctr,Wait List,44,Teresa.Bryan@cfresources.org,2025-12,
Infants,De cember,2025,Other Day Care Ctrs,Wait List,4,Teresa.Bryan@cfresources.org,2025-12,
Toddlers,De cember,2025,Other Day Care Ctrs,Wait List,7,Teresa.Bryan@cfresources.org,2025-12,
Pre-K,De cember,2025,Other Day Care Ctrs,Wait List,10,Teresa.Bryan@cfresources.org,2025-12,
School-Age,De cember,2025,Other Day Care Ctrs,Wait List,0,Teresa.Bryan@cfresources.org,2025-12,
School-Age,De cember,2025,After-School Ctr,Wait List,41,Teresa.Bryan@cfresources.org,2025-12,
